x,y,token
-8.947291374206543,13.416248321533203,lieutenant
36.86876678466797,-1.689535140991211,overthrown
-49.74100875854492,-15.039950370788574,Price
-45.859107971191406,20.11854362487793,imagination
-5.663319110870361,4.249638557434082,comical
18.379606246948242,34.439964294433594,Trade
11.988487243652344,-47.270572662353516,gorgeous
-34.847232818603516,36.944881439208984,Charlotte
-10.0344820022583,37.51727294921875,rascal
-2.0443670749664307,54.474422454833984,TWO
21.841768264770508,16.59080696105957,tongues
-52.45301818847656,19.36222267150879,conviction
-4.125421524047852,-6.991391658782959,adhering
-10.645025253295898,31.346567153930664,disobey
63.45037841796875,3.481019973754883,Cherethites
-43.835350036621094,26.42389488220215,account
-11.298025131225586,39.711849212646484,Didn
67.80529022216797,-5.390969753265381,fifteenth
-3.892568588256836,52.61128234863281,WANT
17.69070053100586,47.13946533203125,meete
2.5091347694396973,43.643898010253906,accuse
-26.011709213256836,18.142810821533203,conversant
14.741756439208984,30.853086471557617,Sirs
-5.656588077545166,-13.59936809539795,Devil
18.450634002685547,41.85111999511719,comming
4.412725925445557,37.42219543457031,comrade
63.317440032958984,7.609677791595459,Zabdi
-13.201972007751465,-9.677348136901855,sperm
56.078941345214844,-7.084386348724365,coasts
-14.622498512268066,38.9591064453125,You
-18.04032325744629,-26.826234817504883,buzz
-7.292902946472168,8.948678016662598,sustenance
-5.422942161560059,22.655563354492188,indifferently
39.01503372192383,1.3190242052078247,ministers
23.103851318359375,-32.946895599365234,leaves
-42.183876037597656,1.6501269340515137,finally
68.08818817138672,15.138559341430664,Baruch
45.37572479248047,-19.925703048706055,loaves
-45.59956741333008,16.03899574279785,effects
5.659262657165527,-17.699602127075195,Ended
-26.322803497314453,28.85161018371582,_me_
-14.847511291503906,-48.965660095214844,chauffeur
1.691425085067749,0.10177449136972427,favor
-0.47052115201950073,-29.06020164489746,marks
11.812993049621582,5.140197277069092,Words
59.33317947387695,-2.6730496883392334,Jezreel
50.67472457885742,36.08613967895508,24
15.694807052612305,40.07374572753906,Enemies
38.08346939086914,6.202608585357666,astray
32.69047164916992,10.825818061828613,maketh
-16.057687759399414,-3.8459632396698,instances
-28.157424926757812,25.292617797851562,offending
-9.740314483642578,-27.904748916625977,thundering
8.987469673156738,-23.92556381225586,fitful
32.172569274902344,-4.54292631149292,dieth
-1.3158668279647827,-21.31615447998047,joyously
-12.079049110412598,-19.565088272094727,viewed
8.77754020690918,-27.223669052124023,aisle
18.982017517089844,51.52754211425781,thinke
1.0447036027908325,-37.401458740234375,laburnum
11.214187622070312,-48.667545318603516,transparent
-11.186347961425781,-29.48229217529297,furrow
31.92771339416504,-22.60761070251465,purified
-46.03870391845703,26.53065299987793,improve
-20.404382705688477,7.60627555847168,permitted
51.172584533691406,8.271241188049316,Tekoa
20.66724967956543,-41.970542907714844,myriads
-4.4488325119018555,28.275114059448242,Toad
44.36445617675781,2.9268712997436523,Pul
-23.12119483947754,-15.910632133483887,Aside
-16.68379783630371,-51.547576904296875,leaning
25.731647491455078,22.94190216064453,venison
-40.70556640625,-30.51404571533203,Red
43.749568939208984,-20.001602172851562,calves
18.106019973754883,6.599921703338623,incorruptible
5.655452251434326,9.601266860961914,His
4.418161869049072,9.910006523132324,dread
60.2847900390625,1.4354596138000488,Mareshah
-10.575346946716309,-49.25410079956055,dragging
-39.2498664855957,1.016028642654419,rap
24.05718421936035,13.629924774169922,whereby
-43.24532699584961,18.79047966003418,belief
-21.35182762145996,16.057966232299805,disputing
-18.6755428314209,-40.414344787597656,throws
3.5234687328338623,-37.09846878051758,expanding
19.862524032592773,30.628921508789062,troubles
-27.849292755126953,-3.99186635017395,consulting
-46.91377639770508,-20.464574813842773,replied
-30.68744468688965,5.3690056800842285,describing
-11.137964248657227,60.68257522583008,Mur
14.012266159057617,-12.857401847839355,Of
-9.331714630126953,-14.685001373291016,lunatics
6.946255683898926,-2.8966550827026367,bibles
-14.106184959411621,17.250131607055664,nightmare
-5.006552696228027,-26.12928581237793,monstrosity
-23.826519012451172,18.310972213745117,loveliness
-7.163416385650635,37.76749801635742,Confound
8.421784400939941,-5.104076862335205,thrift
57.81182861328125,-1.981130838394165,Ramah
-20.47029685974121,-12.913789749145508,Inn
60.698822021484375,18.127073287963867,John
-25.402490615844727,-27.671070098876953,frantic
24.1392879486084,-1.427028775215149,wares
-46.99350357055664,4.734495639801025,assuring
-28.077713012695312,25.658523559570312,trade
-33.73964309692383,-4.058926582336426,finery
34.00031661987305,38.52420425415039,let
21.07390594482422,8.169334411621094,beautify
-5.226625919342041,-23.648921966552734,garb
63.55193328857422,5.995718479156494,Dishan
31.017837524414062,-7.021442413330078,lift
-11.79781723022461,29.717073440551758,test
-37.03007507324219,34.886993408203125,worst
63.87738037109375,6.544020175933838,Teman
3.2238996028900146,18.877681732177734,debtor
-62.62898254394531,9.938603401184082,Smith
3.35823392868042,-6.036951065063477,stores
52.645511627197266,-3.3280763626098633,Sodom
-24.584596633911133,-2.29944109916687,possessing
-43.45478820800781,-17.64170265197754,remarked
-27.9732666015625,7.5026679039001465,aged
21.470134735107422,44.795772552490234,Should
22.81299591064453,-46.546058654785156,sailing
-46.85865783691406,-22.961009979248047,loudly
34.11904525756836,3.5923264026641846,burden
32.09025192260742,-32.755653381347656,hawk
-2.8718507289886475,-1.40424382686615,malignant
-17.61264419555664,-10.191909790039062,Voyage
39.642112731933594,-25.78894805908203,badgers
2.2307674884796143,-2.388007164001465,profoundest
-17.33366584777832,-15.200990676879883,cheers
15.405078887939453,14.742656707763672,necessities
